seed,run,total_reward
738491,0,234.33798
204583,0,231.51576
991627,0,242.54294
458720,0,223.43808
174392,0,246.67862
618305,0,238.60983
837154,0,233.0059
265009,0,234.697
781463,0,226.11197
549128,0,229.75916
738491,1,206.8773
204583,1,207.31386
991627,1,208.84563
458720,1,203.7954
174392,1,206.99937
618305,1,206.5225
837154,1,205.12321
265009,1,205.83144
781463,1,203.60861
549128,1,204.9885
738491,2,136.90233
204583,2,54.4331
991627,2,16.492533
458720,2,176.2803
174392,2,40.342785
618305,2,16.609488
837154,2,62.050896
265009,2,43.826168
781463,2,15.484077
549128,2,128.33284
738491,3,3.544133
204583,3,2.8181684
991627,3,2.6040838
458720,3,2.1024246
174392,3,3.0453289
618305,3,2.8323126
837154,3,2.4254184
265009,3,2.862028
781463,3,2.6557164
549128,3,2.7536147
738491,4,167.24525
204583,4,171.40248
991627,4,176.28893
458720,4,169.29828
174392,4,173.86664
618305,4,164.19658
837154,4,161.81975
265009,4,165.22366
781463,4,166.2695
549128,4,168.22913
738491,5,8.653824
204583,5,8.604546
991627,5,8.531822
458720,5,8.600514
174392,5,8.684489
618305,5,8.584749
837154,5,8.586791
265009,5,8.663979
781463,5,8.622305
549128,5,8.639634
738491,6,168.83975
204583,6,165.42328
991627,6,169.57275
458720,6,165.87538
174392,6,169.93782
618305,6,169.0534
837154,6,166.99506
265009,6,166.66081
781463,6,166.47055
549128,6,168.35808
738491,7,10.575171
204583,7,10.537803
991627,7,13.659422
458720,7,10.687068
174392,7,10.371741
618305,7,10.325838
837154,7,10.320111
265009,7,10.40124
781463,7,10.547595
549128,7,10.741364
738491,8,8.292805
204583,8,7.469143
991627,8,7.164045
458720,8,7.0472145
174392,8,7.659993
618305,8,7.457704
837154,8,7.0399017
265009,8,7.5515366
781463,8,7.3227463
549128,8,7.778437
738491,9,30.77474
204583,9,34.053703
991627,9,34.15253
458720,9,38.07339
174392,9,31.41507
618305,9,33.545006
837154,9,36.49826
265009,9,34.338177
781463,9,38.530605
549128,9,33.645035
